City_Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,Jiexiu,0,CN,1567230053,28,37.02,111.92,77.81,5.23
153,Jiuquan,0,CN,1567230111,15,39.73,98.49,83.39,14.56
154,Lamu,46,CN,1567230071,43,35.77,102.37,65.57,1.39
155,Linjiang,51,CN,1567230127,73,41.81,126.91,66.65,4.43
156,Quzhou,99,CN,1567230114,51,28.97,118.86,87.35,3.09
157,Simao,97,CN,1567230064,62,22.76,100.79,81.05,2.89
158,Taihe,36,CN,1567229980,40,26.8,114.92,88.61,6.55
159,Tongren,100,CN,1567229980,65,27.72,109.18,77.45,7.16
160,Wuwei,0,CN,1567229988,21,37.93,102.64,79.79,8.1
161,Xichang,100,CN,1567230054,95,27.88,102.25,56.03,2.53
162,Xinzhou,24,CN,1567230009,25,38.41,112.73,75.83,6.06
163,Yining,100,CN,1567230077,38,29.04,114.56,88.07,3.11
164,Yumen,0,CN,1567229982,11,40.29,97.04,88.79,18.03
165,Zhanjiang,100,CN,1567230100,84,21.2,110.4,82.13,11.3
166,Cabras,100,CO,1567230098,96,5.5,-75.6,55.99,1.01
167,Pital,62,CO,1567230068,90,2.27,-75.81,53.51,4.32
168,Puerto Ayacucho,87,CO,1567229999,80,5.66,-67.63,78.17,2.8
169,Santa Marta,75,CO,1567229994,83,11.24,-74.21,84.2,6.93
170,Uribia,10,CO,1567230065,76,11.71,-72.27,81.23,7.67
171,Vigia del Fuerte,99,CO,1567230104,97,6.58,-76.89,73.85,1.95
172,Sao Filipe,88,CV,1567229962,80,14.9,-24.5,78.35,10.89
173,Brno,0,CZ,1567230096,88,49.19,16.61,69.01,3.36
174,Hof,0,DE,1567230126,81,50.32,11.92,66.99,3.56
175,Sangerhausen,0,DE,1567230126,93,51.47,11.3,66,6.93
176,Mao,75,DO,1567229836,100,19.55,-71.08,78.01,3.04
177,Adrar,95,DZ,1567229986,33,27.87,-0.29,86,13.87
178,Puerto Ayora,27,EC,1567229506,94,-0.74,-90.35,70,1.99
179,San Vicente,20,EC,1567230041,88,-0.59,-80.41,68,6.93
180,Vao,57,EE,1567229981,79,59.1,26.19,61.43,6.29
181,Asyut,0,EG,1567230067,44,27.18,31.19,78.8,11.41
182,Diyarb Najm,0,EG,1567230015,83,30.75,31.44,78.01,3.36
183,Edd,22,ER,1567230024,27,13.93,41.69,96.35,7.25
184,Algeciras,40,ES,1567230137,88,36.13,-5.45,75.2,8.05
185,Cabra,0,ES,1567230087,64,37.47,-4.43,73,2.39
186,Los Llanos de Aridane,90,ES,1567230044,69,28.66,-17.92,73.4,13.87
187,Muros,75,ES,1567229518,100,42.77,-9.06,64.99,1.12
188,Palencia,0,ES,1567230078,63,42.01,-4.53,64,3.36
189,Puerto del Rosario,40,ES,1567230061,83,28.5,-13.86,73.4,16.11
190,Teguise,40,ES,1567230082,88,29.06,-13.56,71.6,14.99
191,Lebu,11,ET,1567229960,78,8.96,38.73,61.25,4.12
192,Laukaa,0,FI,1567230095,93,62.42,25.95,55,4.7
193,Klaksvik,99,FO,1567230038,100,62.23,-6.59,50,1.12
194,Ajaccio,0,FR,1567230033,77,41.93,8.74,73.4,8.05
195,Carquefou,0,FR,1567230119,93,47.3,-1.49,59,4.7
196,La Seyne-sur-Mer,0,FR,1567229850,68,43.1,5.88,75,3.36
197,Saint-Dizier,0,FR,1567229967,76,48.64,4.95,57.2,3.36
198,Saint-Joseph,0,FR,1567230097,72,43.56,6.97,75.2,4.7
199,Souillac,0,FR,1567229991,88,45.6,-0.6,64.4,4.7
200,Uch,75,FR,1567229984,93,45.32,-0.93,68,4.7
201,Veraval,0,FR,1567230027,76,49.65,0.71,64.4,6.93
202,Villers-les-Nancy,0,FR,1567229919,76,48.67,6.15,62.6,1.12
203,Omboue,100,GA,1567230080,87,-1.57,9.26,74.93,13.13
204,Port-Gentil,75,GA,1567230057,88,-0.72,8.78,77,12.75
205,Broome,0,GB,1567230071,93,52.47,1.45,60.01,9.17
206,Gardenstown,100,GB,1567230070,87,57.67,-2.34,59,17.22
207,Ilfracombe,100,GB,1567230124,88,51.21,-4.13,62.6,31.09
208,Kirkwall,100,GB,1567230007,93,58.98,-2.96,51.8,6.93
209,Liverpool,90,GB,1567229831,82,53.41,-2.98,62.01,8.05
210,Sandwick,100,GB,1567230138,93,54.57,-2.89,62.01,16.11
211,Scarborough,43,GB,1567229997,93,54.28,-0.41,61,9.17
212,Khani,40,GE,1567230062,94,41.96,42.96,68,2.24
213,Cayenne,47,GF,1567230128,88,4.94,-52.33,77,4.63
214,Takoradi,98,GH,1567230141,91,4.89,-1.75,73.67,6.29
215,Ilulissat,0,GL,1567230134,30,69.22,-51.1,42.8,27.51
216,Maniitsoq,52,GL,1567229999,62,65.42,-52.9,44.51,9.31
217,Nanortalik,1,GL,1567229975,89,60.14,-45.24,41.09,2.51
218,Narsaq,10,GL,1567230059,70,60.91,-46.05,42.8,3.36
219,Nuuk,12,GL,1567230023,75,64.17,-51.74,41,2.24
220,Qaanaaq,95,GL,1567229975,50,77.48,-69.36,40.19,11.72
221,Qaqortoq,10,GL,1567230098,70,60.72,-46.03,42.8,3.36
222,Qasigiannguit,0,GL,1567230062,30,68.82,-51.19,42.8,27.51
223,Tasiilaq,0,GL,1567229974,56,65.61,-37.64,41,2.24
224,Upernavik,87,GL,1567229447,55,72.79,-56.15,44.69,14.94
225,Barra,99,GM,1567230089,83,13.49,-16.54,79.79,19.28
226,Saint George,20,GR,1567230131,52,39.45,22.34,75.99,2.24
227,Georgetown,0,GY,1567229975,100,6.8,-58.16,75.2,3.38
228,San Jose,90,HN,1567229939,88,14.25,-87.96,75.2,5.82
229,Biograd na Moru,0,HR,1567229511,47,43.94,15.45,78.8,6.93
230,Atambua,66,ID,1567230127,65,-9.11,124.89,76.19,6.15
231,Banda Aceh,94,ID,1567230050,78,5.56,95.32,83.21,23.53
232,Biak,49,ID,1567230106,79,-0.91,122.88,72.05,3.44
233,Gorontalo,25,ID,1567229907,64,0.54,123.06,83.93,9.66
234,Japura,100,ID,1567230095,37,-0.42,102.29,89.69,4.47
235,Kendari,98,ID,1567230031,57,-3.99,122.52,84.11,7.27
236,Labuhan,0,ID,1567230081,35,-2.54,115.51,95.09,3.18
237,Majene,99,ID,1567229964,69,-3.54,118.97,81.05,11.45
238,Manggar,5,ID,1567230120,51,-2.88,108.27,88.25,11.56
239,Manokwari,49,ID,1567229841,87,-0.87,134.08,77.09,2.8
240,Nabire,34,ID,1567229960,61,-3.36,135.5,81.41,6.62
241,Padang,86,ID,1567230013,81,-0.92,100.36,81.41,7.47
242,Puri,34,ID,1567230107,30,-7.54,112.45,94.37,8.3
243,Sibolga,100,ID,1567230042,76,1.74,98.78,81.95,3.67
244,Sumenep,84,ID,1567229514,37,-7.02,113.87,90.59,14
245,Sungairaya,0,ID,1567230017,76,0.7,108.9,81.23,12.28
246,Tual,100,ID,1567230072,83,-5.67,132.75,75.47,11.72
247,Ballina,75,IE,1567230047,100,54.11,-9.15,54,13.87
248,Skibbereen,40,IE,1567230144,87,51.55,-9.27,53.6,11.41
249,Bharatpur,19,IN,1567229908,42,27.22,77.5,97.97,5.86
250,Chakrata,75,IN,1567230105,83,30.7,77.87,84.2,3.36
251,Chengam,100,IN,1567230142,55,12.3,78.79,85.37,15.82
252,Chinchani,75,IN,1567229516,69,16.42,74.53,77,9.17
253,Dadri,40,IN,1567230092,59,28.55,77.56,95,2.24
254,Ginda,75,IN,1567230018,83,30.69,78.49,84.2,3.36
255,Jammalamadugu,75,IN,1567230052,62,14.85,78.38,87.8,19.46
256,Kandla,78,IN,1567230066,66,23.02,70.21,88.61,8.9
257,Karhal,0,IN,1567230004,45,27,78.94,96.71,6.02
258,Kavaratti,98,IN,1567230104,78,10.57,72.64,81.77,17.45
259,Leh,4,IN,1567230075,27,34.16,77.58,57.11,7.87
260,Phek,100,IN,1567230058,72,25.7,94.46,86.63,2.89
261,Porbandar,75,IN,1567230025,89,21.64,69.61,84.2,9.17
262,Port Blair,75,IN,1567230043,79,11.67,92.75,86,13.87
263,Rajpur,14,IN,1567230132,44,26.3,79.68,96.71,6.55
264,Vaini,75,IN,1567229515,69,15.34,74.49,77,9.17
265,Ayan,40,IR,1567230083,56,38.23,44.7,68,7.45
266,Bijar,0,IR,1567230119,48,35.87,47.6,70.61,11.99
267,Birjand,0,IR,1567230044,23,32.86,59.22,73.4,13.87
268,Mitu,1,IR,1567230118,40,36.2,46.09,74.21,2.51
269,Nahavand,0,IR,1567230093,35,34.19,48.37,75.2,4.7
270,Qeshm,29,IR,1567230114,56,26.96,56.27,96.8,4.7
271,Saveh,0,IR,1567229972,31,35.02,50.36,75.47,9.19
272,Hofn,100,IS,1567229987,86,64.25,-15.21,32.27,16.44
273,Vestmannaeyjar,62,IS,1567229964,73,63.44,-20.27,48.65,14.58
274,Bastia,0,IT,1567230036,61,44.6,8.98,78.8,10.29
275,Bose,0,IT,1567230028,77,45.46,8.01,72,5.82
276,Mantua,40,IT,1567230079,69,45.16,10.79,81,3.36
277,Mazara del Vallo,20,IT,1567230040,83,37.65,12.59,73,4.7
278,Orbetello,0,IT,1567230019,83,42.44,11.21,75,3.36
279,Paterno,0,IT,1567230011,76,42.06,13.47,75,6.93
280,Hasaki,75,JP,1567230022,58,35.73,140.83,86,9.17
281,Hirara,75,JP,1567230082,70,24.8,125.28,89.6,12.75
282,Kamaishi,40,JP,1567230128,48,39.28,141.86,84.2,10.29
283,Kamiiso,40,JP,1567230020,74,41.82,140.65,78.8,18.34
284,Katsuura,75,JP,1567230061,73,33.93,134.5,77,2.24
285,Kushiro,75,JP,1567230088,100,43.11,144.15,66.2,4.7
286,Nagato,75,JP,1567230073,58,34.35,131.14,82.99,10.29
287,Nara,75,JP,1567230065,54,34.68,135.8,87.01,6.93
288,Nemuro,75,JP,1567230052,100,43.32,145.57,64.4,4.7
289,Nishihara,75,JP,1567230096,62,35.74,139.53,91,6.93
290,Sakaiminato,75,JP,1567229519,48,35.55,133.23,86,16.11
291,Shimoda,40,JP,1567230103,66,34.7,138.93,86,17.22
292,Tateyama,40,JP,1567230076,58,36.66,137.31,86,4.7
293,Towada,75,JP,1567230095,45,40.61,141.21,86,14.99
294,Garissa,64,KE,1567230135,60,-0.46,39.64,79.43,15.48
295,Lodwar,0,KE,1567230105,48,3.12,35.6,82.85,17.83
296,Butaritari,52,KI,1567229959,61,3.07,172.79,84.47,10.18
297,Fomboni,5,KM,1567230021,73,-12.28,43.74,76.91,8.86
298,Mitsamiouli,20,KM,1567230060,78,-11.38,43.28,75.2,2.24
299,Derzhavinsk,100,KZ,1567230090,78,51.1,66.31,47.75,19.17
300,Zhezkazgan,75,KZ,1567230121,66,47.8,67.71,51.8,20.13
301,Hambantota,40,LK,1567230043,70,6.12,81.12,87.8,17.22
302,Kalmunai,100,LK,1567229969,34,7.42,81.82,94.91,6.87
303,Buchanan,75,LR,1567230009,94,5.88,-10.05,75.2,9.17
304,Awbari,0,LY,1567230026,22,26.59,12.77,83.39,1.81
305,Nalut,90,LY,1567229972,91,31.86,10.98,70.61,15.14
306,Sabha,0,LY,1567230040,22,27.03,14.43,82.85,6.98
307,Tiznit,50,MA,1567229986,90,29.7,-9.73,66.83,8.61
308,Ambanja,75,MG,1567230021,88,-13.68,48.45,73.4,2.24
309,Beloha,0,MG,1567230064,35,-25.17,45.06,78.17,2.84
310,Sambava,97,MG,1567230077,67,-14.27,50.17,70.43,2.26
311,Poum,0,MK,1567230034,59,41.28,20.71,60.8,6.93
312,Douentza,83,ML,1567230045,71,15.01,-2.95,79.61,5.1
313,Taoudenni,0,ML,1567229511,38,22.68,-3.98,91.13,3.42
314,Maymyo,90,MM,1567230135,79,22.03,96.47,87.8,2.24
315,Pathein,100,MM,1567230035,90,16.78,94.73,78.53,9.33
316,Pyay,100,MM,1567230133,84,18.82,95.22,81.59,4.79
317,Mandalgovi,0,MN,1567230068,24,45.76,106.27,75.83,4.63
318,Atar,87,MR,1567229971,55,20.52,-13.05,87.35,14.7
319,Bambous Virieux,75,MU,1567229505,60,-20.34,57.76,77,18.34
320,Mahebourg,75,MU,1567229985,60,-20.41,57.7,75.99,18.34
321,Dhidhdhoo,100,MV,1567230084,76,6.88,73.1,82.31,11.7
322,Hithadhoo,20,MV,1567230002,71,-0.6,73.08,82.85,8.25
323,Kudahuvadhoo,100,MV,1567230131,71,2.67,72.89,82.85,8.25
324,Cabo San Lucas,75,MX,1567230069,78,22.89,-109.91,84,6.93
325,Coahuayana,50,MX,1567230138,90,18.62,-100.35,70.61,2.55
326,Constitucion,62,MX,1567230122,82,23.99,-104.67,62.01,4
327,Frontera,6,MX,1567230124,76,18.53,-92.64,83.03,5.99
328,Guerrero Negro,50,MX,1567229996,88,27.97,-114.04,68.81,11.54
329,Isla Mujeres,40,MX,1567230031,100,21.23,-86.73,77,4.7
330,Ixtapa,5,MX,1567230106,83,20.71,-105.21,80.6,4.9
331,Lazaro Cardenas,57,MX,1567230130,71,28.39,-105.62,67.91,3.13
332,Manzanillo,16,MX,1567230024,75,19.05,-104.32,82.49,5.46
333,Salamanca,40,MX,1567230055,59,20.57,-101.19,66.2,5.82
334,Tres Palos,20,MX,1567230083,83,16.83,-99.78,84.2,3.96
335,Venado,0,MX,1567230085,61,22.93,-101.09,61.97,12.5
336,Bintulu,75,MY,1567230112,66,3.17,113.03,91.4,9.17
337,Butterworth,75,MY,1567230079,55,5.4,100.37,91.4,13.87
338,Kuantan,75,MY,1567230132,62,3.82,103.33,89.6,4.7
339,Inhambane,40,MZ,1567230023,73,-23.87,35.38,75.2,11.41
340,Luangwa,7,MZ,1567229997,35,-15.62,30.4,75.65,4.23
341,Gobabis,0,NA,1567230038,28,-22.45,18.97,42.8,1.12
342,Henties Bay,0,NA,1567229981,88,-22.12,14.28,45,17.78
343,Luderitz,0,NA,1567230108,66,-26.65,15.16,53.6,18.34
344,Opuwo,0,NA,1567230073,43,-18.06,13.84,55.85,0.31
345,Koumac,38,NC,1567230003,77,-20.56,164.28,73.13,14.9
346,Diffa,33,NE,1567230115,54,13.32,12.61,82.49,10.25
347,Ouallam,92,NE,1567230065,65,14.32,2.08,81.59,9.04
348,Hadejia,38,NG,1567230126,80,12.45,10.04,76.91,7.99
349,Lokoja,74,NG,1567229964,95,7.8,6.74,72.77,3.06
350,Mana,70,NG,1567229968,76,13.03,5.27,77.63,3.96
351,Naze,99,NG,1567230017,93,5.43,7.07,74.21,3.31
352,Ermelo,26,NL,1567230032,93,52.3,5.62,61,1.12
353,Leeuwarden,0,NL,1567230001,82,53.2,5.79,62.6,6.93
354,Rotterdam,0,NL,1567229508,93,51.92,4.46,62.01,1.12
355,Batsfjord,99,NO,1567230124,95,70.63,29.72,51.71,10.92
356,Havoysund,40,NO,1567230107,93,71,24.66,53.6,16.11
357,Longyearbyen,75,NO,1567229513,93,78.22,15.63,44.6,3.36
358,Mehamn,100,NO,1567229962,91,71.03,27.85,53.69,6.62
359,Oksfjord,75,NO,1567229961,93,70.24,22.35,53.6,6.93
360,Raudeberg,100,NO,1567230113,93,61.99,5.14,57.2,5.82
361,Roald,75,NO,1567230015,87,62.58,6.12,57.2,19.35
362,Rorvik,83,NO,1567229979,88,64.86,11.24,59,1.01
363,Jumla,27,NP,1567230102,52,29.28,82.18,72.41,5.84
364,Ahipara,14,NZ,1567230016,73,-35.17,173.16,55.85,14.18
365,Clyde,11,NZ,1567230069,43,-45.19,169.32,57.99,1.99
366,Dunedin,0,NZ,1567229887,58,-45.87,170.5,55,8.01
367,Hastings,0,NZ,1567230045,92,-39.64,176.84,44.51,2.37
368,Kaeo,11,NZ,1567229507,60,-35.1,173.78,60.01,7
369,Kaitangata,68,NZ,1567230092,63,-46.28,169.85,55.99,8.01
370,Mataura,57,NZ,1567229513,85,-46.19,168.86,52,14
371,Ngunguru,0,NZ,1567229973,71,-35.62,174.5,56.57,10.87
372,Te Anau,38,NZ,1567229971,86,-45.41,167.72,46.49,8.77
373,Tuatapere,53,NZ,1567229990,85,-46.13,167.69,52,14
374,Waipawa,0,NZ,1567230054,92,-39.94,176.59,44.51,2.37
375,Sur,15,OM,1567229976,31,22.57,59.53,94.19,11.86
376,Chichica,93,PA,1567230137,69,8.49,-82.16,57.99,4
377,Chipiona,12,PE,1567230032,86,-14.54,-75.2,55.49,5.08
378,Contamana,76,PE,1567230097,77,-7.35,-75.01,73.85,2.73
